NAME_CD	IL_STATUS	IN_STATUS	MI_STATUS	WI_STATUS	FEDERAL_STATUS	TE_NOTES
SPRO		E  		
STAM4	T  					
STAV		T  				name used on IN state list
STCO4		X  				name used on IN state list
STGR2	E  	E  				
STHE4			SC 			
STLE6		T  		SC 		
STPU	E  					
SUSU3	T  	T  				
SYAL	E  					
TACA7		T  				
TADI2		T  				
TARU		T  		SC 		
TEHE4	E  		E  		T  	
THBA				E  		
THNO	E  					
THOC2		E  				
THRE				SC 		
THTRA				SC 		synonym used on WI state list
THTRF				SC 		name used on WI state list
TIAMH	E  					synonym used on IL state list
TICO				E  		
TIDI			T  			
TIHE	E  					name used on IL state list
TOAU	T  	E  	X  	SC 		name used on IL
TOGL2	T  	R  		T  		
TOPAP	E  					
TRBO2	E  					
TRBR	T  		X  			
TRBR5			T  			name used on MI state list
TRCE	E  	E  				name used on IL state list; synonym used on IN state list
TRCE3	E  			T  		name used on IL state list; synonym used on WI state list
TRCEM		E  				name used on IN state list
TRCL4			SC 			synonym used on MI state list
TRDI2		R  	T  			
TRER3	E  					
TRMA4	T  			SC 		
TRNI2			T  	T  		
TRPA6	T  	T  		SC 		
TRPU4			SC 			
TRRE2	T  					name used on IL state list; synonym used on IN state list
TRRE5			T  	SC 		
TRREG	T  	E  				name used on IN state list
TRSE2			T  			
TRTR3			T  	SC 		
TRUN			E  			
TRVI			SC 			
TRVI2	E  					
ULTH	E  					
UTCO	E  	T  				
UTGE		E  		SC 		
UTIN2	T  					
UTINM			E  			name used on MI state list
UTMI	E  	E  				
UTPU		R  		SC 		
UTRA		E  	E  			name used on IN state list; synonym used on MI state list
UTRE		X  		SC 		
UTSU		T  	T  			
VACH	E  	E  	T  			
VACI		E  	T  			synonym used on IN and MI state lists
VACO	E  					
VAEDC		E  	T  			name used on IN and MI state lists
VAMA	E  					
VAMY		E  				
VAOX	E  	T  				
VAPA4				SC 		
VASIU				T  		name used on WI state list
VAUL2	E  	E  		T  		name used on Il and IN state lists; synonym used on WI state list
VAUM	E  		T  			
VEAM2	E  	X  				
VEAN2		T  				
VESC2	T  					
VESI				SC 		
VIBL	E  					
VICA		E  				name used on IN state list
VICA4	E  					
VICO2	T  					name used on IL state list
VIFI				E  		name used on WI state list
VILA10	T  					synonym used on IL state list
VINUC		E  		SC 		name used on WI state list; synonym used on IN state list
VIOPA2		E  				
VIPE2		T  	T  			
VIPR			SC 	SC 		
VIPR4	E  	R  				
VIRO				SC 		
VISAO				E  		synonym used on WI state list
VIVU			T  			
VP-174			T  	SC 		synonyms used on MI and WI state lists
VP-176		T  				synonym used on IN state list
VP-177		E  	SC 	SC 		synonym used on IN
VP-317		X  				synonym used on IN state list
VP-323		E  				synonym used on IN state list
VP-324		E  				IN lists two synonyms for this taxon
VP-325			SC 			synonym used on MI state list
VP-328	E  	T  				synonyms used on IL and IN state lists
VP-330		E  				synonym used on IN state list
VP-331		R  				synonym used on IN state list
VP-332	E  	R  				name used on IL state list; synonym used on IN state list
WAFR		R  				
WIFR		R  	T  			name used on MI state list; synonym used on IN state list
WIMA		R  				name used on IN state list
WOAR		R  	X  			
WOBR			T  			synonym used on MI state list
WOFL		X  				name used on IN state list
WOGL2		X  				synonym used on IN state list
WOOB2			T  			
WOPA			T  			name used on MI state list
XYDID		T  				listed only under species
ZAPA		E  				
ZIAP		R  	T  			
ZIAQA2			T  			
ZIEL2	E  	R  				synonym used on IL and IN state lists
ZIELG2	E  	R  				name used on IL and IN state lists
